"","pond","treat","month","temp","sample","group","family","genus","species","feeding","taxon","abundance","bodymass","biomass"
"966",20,"Cold","May",15.6,"Surface","Algae","Desmid","Penium","unknown","autotroph","AlgaeDesmidPeniumunknown",43,0.000101195935359883,0.00108785630511874
"967",20,"Cold","May",15.6,"Surface","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",47,1.36921111725756,16.0882306277763
"968",20,"Cold","May",15.6,"Surface","Meiofauna","Nematoda","Nematode","unknown","heterotroph","MeiofaunaNematodaNematodeunknown",1,0.138357985655644,0.034589496413911
"969",1,"Warm","Jun",22.3,"Mid-column","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",16,0.100344274298812,0.401377097195249
"970",1,"Warm","Jun",22.3,"Mid-column","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",31,0.00049783562144376,0.00385822606618914
"971",1,"Warm","Jun",22.3,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",1,0.0129862203869678,0.00324655509674195
"972",1,"Warm","Jun",22.3,"Mid-column","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",1,0.0527861785929526,0.0131965446482381
"973",1,"Warm","Jun",22.3,"Mid-column","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",1,0.0426759789425973,0.0106689947356493
"974",1,"Warm","Jun",22.3,"Sediment","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",113,0.00127982620400961,0.0361550902632715
"975",1,"Warm","Jun",22.3,"Sediment","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",3,0.0145145881087125,0.0108859410815344
"976",1,"Warm","Jun",22.3,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0144889598685092,0.0036222399671273
"977",1,"Warm","Jun",22.3,"Sediment","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",1,0.0988433516068474,0.0247108379017119
"978",1,"Warm","Jun",22.3,"Sediment","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",4,0.00496191691457983,0.00496191691457983
"979",1,"Warm","Jun",22.3,"Surface","Algae","Desmid","Closterium","cynthia","autotroph","AlgaeDesmidClosteriumcynthia",12,0.00252123356602586,0.00756370069807758
"980",1,"Warm","Jun",22.3,"Surface","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",11,0.00526807493614921,0.0144872060744103
"981",2,"Cold","Jun",18,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",1,0.00470496592054303,0.00117624148013576
"982",2,"Cold","Jun",18,"Mid-column","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",7,0.0998827035539903,0.174794731219483
"983",2,"Cold","Jun",18,"Mid-column","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",13,0.00711605599661177,0.0231271819889883
"984",2,"Cold","Jun",18,"Mid-column","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",22,0.0458437880123484,0.252140834067916
"985",2,"Cold","Jun",18,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",5,0.0220988135733609,0.0276235169667012
"986",2,"Cold","Jun",18,"Mid-column","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",4,0.0190238682371207,0.0190238682371207
"987",2,"Cold","Jun",18,"Mid-column","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",1,0.407728825378246,0.101932206344562
"988",2,"Cold","Jun",18,"Sediment","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",13,0.00775213587225726,0.0251944415848361
"989",2,"Cold","Jun",18,"Sediment","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",4,0.63408130321719,0.63408130321719
"990",2,"Cold","Jun",18,"Sediment","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",17,0.000129014738307421,0.000548312637806539
"991",2,"Cold","Jun",18,"Sediment","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",34,0.0927797835229072,0.788628159944711
"992",2,"Cold","Jun",18,"Surface","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",11,0.0908311588432394,0.249785686818908
"993",2,"Cold","Jun",18,"Surface","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",17,0.000161268422884276,0.000685390797258173
"994",2,"Cold","Jun",18,"Surface","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",1,0.107324135429486,0.0268310338573715
"995",3,"Cold","Jun",18.5,"Mid-column","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",31,0.273851217373129,2.12234693464175
"996",3,"Cold","Jun",18.5,"Mid-column","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",55,0.000372973545025609,0.00512838624410212
"997",3,"Cold","Jun",18.5,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",1,0.0441520688172571,0.0110380172043143
"998",3,"Cold","Jun",18.5,"Mid-column","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",2,0.0170705850991464,0.0085352925495732
"999",3,"Cold","Jun",18.5,"Sediment","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",22,0.00819225262294977,0.0450573894262237
"1000",3,"Cold","Jun",18.5,"Sediment","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",15,0.487871041803655,1.82951640676371
"1001",3,"Cold","Jun",18.5,"Sediment","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",47,0.000379303330623817,0.00445681413482985
"1002",3,"Cold","Jun",18,"Sediment","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",41,0.0583946623718779,0.598545289311748
"1003",3,"Cold","Jun",18.5,"Sediment","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",1,0.0822468956709808,0.0205617239177452
"1004",3,"Cold","Jun",18,"Sediment","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",4,0.0195108988742312,0.0195108988742312
"1005",3,"Cold","Jun",18.5,"Sediment","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",2,0.0206228648085712,0.0103114324042856
"1006",3,"Cold","Jun",18.5,"Surface","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",1,0.000226783719681013,5.66959299202533e-05
"1007",3,"Cold","Jun",18.5,"Surface","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",49,0.452809096594562,5.54691143328338
"1008",3,"Cold","Jun",18.5,"Surface","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",112,9.67610537305656e-05,0.00270930950445584
"1009",4,"Warm","Jun",23,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",33,0.00465379984819157,0.0383938487475804
"1010",4,"Warm","Jun",23,"Mid-column","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",56,0.000465743205289789,0.00652040487405705
"1011",4,"Warm","Jun",23,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",4,0.01378087054073,0.01378087054073
"1012",4,"Warm","Jun",23,"Mid-column","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",1,0.468766302828072,0.117191575707018
"1013",4,"Warm","Jun",23,"Mid-column","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",2,0.113829804401402,0.056914902200701
"1014",4,"Warm","Jun",23,"Sediment","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",15,0.00484075930822569,0.0181528474058463
"1015",4,"Warm","Jun",23,"Sediment","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",67,0.000429256224612222,0.00719004176225472
"1016",4,"Warm","Jun",23,"Sediment","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",9,0.0178859268875004,0.0402433354968759
"1017",4,"Warm","Jun",23,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",3,0.0140656840145789,0.0105492630109342
"1018",4,"Warm","Jun",23,"Sediment","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",1,0.0103816144060696,0.0025954036015174
"1019",4,"Warm","Jun",23,"Surface","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",31,0.0594420562726153,0.460675936112769
"1020",5,"Cold","Jun",19,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",1,0.00592721929758296,0.00148180482439574
"1021",5,"Cold","Jun",19,"Mid-column","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",4,0.0657012594468756,0.0657012594468756
"1022",5,"Cold","Jun",19,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",4,0.0232874021671238,0.0232874021671238
"1023",5,"Cold","Jun",19,"Mid-column","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",5,0.020435571693944,0.02554446461743
"1024",5,"Cold","Jun",19,"Mid-column","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",1,0.0512059496342153,0.0128014874085538
"1025",5,"Cold","Jun",19,"Sediment","Algae","Desmid","Closterium","didymotocum","autotroph","AlgaeDesmidClosteriumdidymotocum",38,0.290813433757289,2.76272762069425
"1026",5,"Cold","Jun",19,"Sediment","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",123,0.000745503601888287,0.0229242357580648
"1027",5,"Cold","Jun",19,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0144889598685092,0.0036222399671273
"1028",5,"Cold","Jun",19,"Sediment","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",14,0.370383585673261,1.29634254985641
"1029",5,"Cold","Jun",19,"Surface","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",1,0.000278671834744029,6.96679586860072e-05
"1030",5,"Cold","Jun",19,"Surface","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0147217105198369,0.00368042762995922
"1031",6,"Warm","Jun",23.2,"Mid-column","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",11,0.99005857031839,2.72266106837557
"1032",6,"Warm","Jun",23.2,"Mid-column","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0220484171912096,0.0055121042978024
"1033",6,"Warm","Jun",23.2,"Mid-column","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",2,0.110670455204335,0.0553352276021673
"1034",6,"Warm","Jun",23.2,"Sediment","Algae","Desmid","Closterium","cynthia","autotroph","AlgaeDesmidClosteriumcynthia",43,0.00271837352286022,0.0292225153707474
"1035",6,"Warm","Jun",23.2,"Sediment","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",22,0.0828578684214607,0.455718276318034
"1036",6,"Warm","Jun",23.2,"Sediment","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",55,0.000351242625041953,0.00482958609432685
"1037",6,"Warm","Jun",23.2,"Sediment","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",3,0.0982385815819961,0.0736789361864971
"1038",6,"Warm","Jun",23.2,"Sediment","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",2,0.0209328227173547,0.0104664113586774
"1039",6,"Warm","Jun",23.2,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0220484171912096,0.0055121042978024
"1040",6,"Warm","Jun",23.2,"Surface","Algae","Desmid","Closterium","cynthia","autotroph","AlgaeDesmidClosteriumcynthia",17,0.0030536104725304,0.0129778445082542
"1041",6,"Warm","Jun",23.2,"Surface","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",127,0.000780539166759896,0.0247821185446267
"1042",7,"Cold","Jun",18,"Mid-column","Algae","Desmid","Closterium","acerosum","autotroph","AlgaeDesmidClosteriumacerosum",22,0.284143071241098,1.56278689182604
"1043",7,"Cold","Jun",18,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",89,0.00870849483575091,0.193764010095458
"1044",7,"Cold","Jun",18,"Mid-column","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",34,0.42567908940712,3.61827225996052
"1045",7,"Cold","Jun",18,"Mid-column","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",8,0.0630844021054764,0.126168804210953
"1046",7,"Cold","Jun",18,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",3,0.0210729985744293,0.015804748930822
"1047",7,"Cold","Jun",18,"Mid-column","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0144889598685092,0.0036222399671273
"1048",7,"Cold","Jun",18,"Sediment","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",231,0.012928808828421,0.746638709841311
"1049",7,"Cold","Jun",18,"Sediment","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",46,0.10099938213911,1.16149289459977
"1050",7,"Cold","Jun",18,"Sediment","Ciliate","Blepharismidea","Blepharisma","unknown","heterotroph","CiliateBlepharismideaBlepharismaunknown",4,0.0564832067911925,0.0564832067911925
"1051",7,"Cold","Jun",18,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",8,0.022443756650634,0.044887513301268
"1052",7,"Cold","Jun",18,"Sediment","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",1,0.158358535778858,0.0395896339447145
"1053",7,"Cold","Jun",18,"Surface","Algae","Desmid","Closterium","acerosum","autotroph","AlgaeDesmidClosteriumacerosum",21,0.26248518386186,1.37804721527477
"1054",7,"Cold","Jun",18,"Surface","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",122,0.000209003876058022,0.00637461821976967
"1055",7,"Cold","Jun",18,"Surface","Ciliate","Loxodidae","Loxodes","magnus","heterotroph","CiliateLoxodidaeLoxodesmagnus",18,0.0547392534258807,0.246326640416463
"1056",7,"Cold","Jun",18,"Surface","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",5,0.0146445435794868,0.0183056794743585
"1057",7,"Cold","Jun",18,"Surface","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",2,0.0668376978643884,0.0334188489321942
"1058",8,"Warm","Jun",22.4,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",23,0.00494632977172936,0.0284413961874438
"1059",8,"Warm","Jun",22.4,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",3,0.0140398945059526,0.0105299208794645
"1060",8,"Warm","Jun",22.4,"Mid-column","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",1,0.0306577722639924,0.0076644430659981
"1061",8,"Warm","Jun",22.4,"Sediment","Algae","Desmid","Closterium","acerosum","autotroph","AlgaeDesmidClosteriumacerosum",10,0.123223839207702,0.308059598019255
"1062",8,"Warm","Jun",22.4,"Sediment","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",7,0.0888592293056684,0.15550365128492
"1063",8,"Warm","Jun",22.4,"Sediment","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",551,0.000103910620478435,0.0143136879709044
"1064",8,"Warm","Jun",22.4,"Sediment","Ciliate","Spirofilidae","Stichotricha","aculeata","heterotroph","CiliateSpirofilidaeStichotrichaaculeata",1,0.0167729239076077,0.00419323097690192
"1065",8,"Warm","Jun",22.4,"Sediment","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",1,0.10522764593199,0.0263069114829975
"1066",8,"Warm","Jun",22.4,"Surface","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",14,0.674972036398768,2.36240212739569
"1067",8,"Warm","Jun",22.4,"Surface","Algae","Diatom","Penium","unknown","autotroph","AlgaeDiatomPeniumunknown",120,0.000234605238190901,0.00703815714572703
"1068",9,"Warm","Jun",22.8,"Mid-column","Algae","Desmid","Closterium","cynthia","autotroph","AlgaeDesmidClosteriumcynthia",32,0.00428442827004299,0.0342754261603439
"1069",9,"Warm","Jun",22.8,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",4,0.00409097671751687,0.00409097671751687
"1070",9,"Warm","Jun",22.8,"Mid-column","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",13,0.155749377066329,0.506185475465569
"1071",9,"Warm","Jun",22.8,"Mid-column","Ciliate","Spirofilidae","Stichotricha","aculeata","heterotroph","CiliateSpirofilidaeStichotrichaaculeata",2,0.0140565992267564,0.00702829961337822
"1072",9,"Warm","Jun",22.8,"Mid-column","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0261254845072527,0.00653137112681317
"1073",9,"Warm","Jun",22.4,"Mid-column","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",1,0.638622954621733,0.159655738655433
"1074",9,"Warm","Jun",22.8,"Sediment","Algae","Desmid","Closterium","cynthia","autotroph","AlgaeDesmidClosteriumcynthia",9,0.0416027073504731,0.0936060915385645
"1075",9,"Warm","Jun",22.8,"Sediment","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",51,0.00439781188320278,0.0560721015108355
"1076",9,"Warm","Jun",22.8,"Sediment","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",4,0.403868422188348,0.403868422188348
"1077",9,"Warm","Jun",22.8,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0157488694222926,0.00393721735557315
"1078",9,"Warm","Jun",22.8,"Sediment","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",1,0.0435878309226907,0.0108969577306727
"1079",9,"Warm","Jun",22.8,"Sediment","Ciliate","Stentoridae","Stentor","roselii","heterotroph","CiliateStentoridaeStentorroselii",1,0.277381687360955,0.0693454218402387
"1080",9,"Warm","Jun",22.8,"Surface","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",5,0.00708185282490751,0.00885231603113439
"1081",9,"Warm","Jun",22.8,"Surface","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",11,0.0533737894132629,0.146777920886473
"1082",9,"Warm","Jun",22.8,"Surface","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",41,0.55444909188724,5.68310319184421
"1083",9,"Warm","Jun",22.8,"Surface","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",2,0.0138969838052068,0.00694849190260338
"1084",9,"Warm","Jun",22.8,"Surface","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",1,0.00336039044474538,0.000840097611186345
"1085",10,"Cold","Jun",18.3,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",2,0.00670318247284351,0.00335159123642176
"1086",10,"Cold","Jun",18.3,"Mid-column","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",22,0.115351271178551,0.63443199148203
"1087",10,"Cold","Jun",18.3,"Mid-column","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",17,1.4609395174151,6.20899294901419
"1088",10,"Cold","Jun",18.3,"Mid-column","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",2,0.352624493840543,0.176312246920272
"1089",10,"Cold","Jun",18.3,"Mid-column","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",2,0.0849037929379991,0.0424518964689996
"1090",10,"Cold","Jun",18.3,"Sediment","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",67,0.00758009235044677,0.126966546869983
"1091",10,"Cold","Jun",18.3,"Sediment","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",42,0.199519060690846,2.09495013725388
"1092",10,"Cold","Jun",18.3,"Sediment","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",100,0.812366431970306,20.3091607992576
"1093",10,"Cold","Jun",18.3,"Sediment","Ciliate","Blepharismidae","Blepharisma","unknown","heterotroph","CiliateBlepharismidaeBlepharismaunknown",1,0.0475255220042561,0.011881380501064
"1094",10,"Cold","Jun",18.3,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",3,0.0227650537454016,0.0170737903090512
"1095",10,"Cold","Jun",18.3,"Sediment","Ciliate","Stentoridae","Stentor","roselii","heterotroph","CiliateStentoridaeStentorroselii",1,0.441115904431131,0.110278976107783
"1096",10,"Cold","Jun",18.3,"Sediment","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",2,0.686056614100604,0.343028307050302
"1097",10,"Cold","Jun",18.3,"Surface","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",23,1.49718957171031,8.60884003733428
"1098",11,"Cold","Jun",18.6,"Mid-column","Algae","Desmid","Closterium","didymotocum","autotroph","AlgaeDesmidClosteriumdidymotocum",44,0.178737245692969,1.96610970262266
"1099",11,"Cold","Jun",18.6,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",45,0.00781635425516366,0.0879339853705912
"1100",11,"Cold","Jun",18.6,"Mid-column","Ciliate","Loxodidae","Loxodes","rostrum","heterotroph","CiliateLoxodidaeLoxodesrostrum",4,0.0199157531706058,0.0199157531706058
"1101",11,"Cold","Jun",18.6,"Mid-column","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0207885076374262,0.00519712690935655
"1102",11,"Cold","Jun",18.6,"Sediment","Algae","Desmid","Pleurotaenium","unknown","autotroph","AlgaeDesmidPleurotaeniumunknown",45,0.853735971753926,9.60452968223167
"1103",11,"Cold","Jun",18.6,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",1,0.0144889598685092,0.0036222399671273
"1104",11,"Cold","Jun",18.6,"Sediment","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",11,0.941961806238747,2.59039496715655
"1105",11,"Cold","Jun",18.6,"Sediment","Meiofauna","Nematoda","unknown","unknown","heterotroph","MeiofaunaNematodaunknownunknown",1,0.11178119146695,0.0279452978667375
"1106",11,"Cold","Jun",18.6,"Sediment","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",4,0.125510425874528,0.125510425874528
"1107",11,"Cold","Jun",18.6,"Surface","Algae","Desmid","Closterium","acerosum","autotroph","AlgaeDesmidClosteriumacerosum",16,0.139666840175773,0.558667360703092
"1108",11,"Cold","Jun",18.6,"Surface","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",20,0.012263405236324,0.06131702618162
"1109",11,"Cold","Jun",18.6,"Surface","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",67,0.90089224771284,15.0899451491901
"1110",11,"Cold","Jun",18.6,"Surface","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",31,0.0304666772462957,0.236116748658792
"1111",12,"Warm","Jun",21.8,"Mid-column","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",24,0.00487305892986846,0.0292383535792107
"1112",12,"Warm","Jun",21.8,"Mid-column","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",12,0.888242037720767,2.6647261131623
"1113",12,"Warm","Jun",21.8,"Mid-column","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",5,0.269974007814452,0.337467509768065
"1114",12,"Warm","Jun",21.8,"Mid-column","Meiofauna","Rotifera","unknown","unknown","heterotroph","MeiofaunaRotiferaunknownunknown",5,0.0120263346071183,0.0150329182588978
"1115",12,"Warm","Jun",21.8,"Sediment","Algae","Desmid","Closterium","cynthia","autotroph","AlgaeDesmidClosteriumcynthia",234,0.00288896252754892,0.169004307861612
"1116",12,"Warm","Jun",21.8,"Sediment","Algae","Desmid","Closterium","parvulum","autotroph","AlgaeDesmidClosteriumparvulum",24,0.00516488880184327,0.0309893328110596
"1117",12,"Warm","Jun",21.8,"Sediment","Algae","Desmid","Spirogyra","unknown","autotroph","AlgaeDesmidSpirogyraunknown",87,0.751414577057456,16.3432670509997
"1118",12,"Warm","Jun",21.8,"Sediment","Ciliate","Spirofilidae","Stichotricha","secunda","heterotroph","CiliateSpirofilidaeStichotrichasecunda",2,0.0178675333279348,0.00893376666396738
"1119",12,"Warm","Jun",21.8,"Sediment","Ciliate","Spirostomidae","Spirostomum","loxodes","heterotroph","CiliateSpirostomidaeSpirostomumloxodes",12,0.299175522188089,0.897526566564266
